player_ID	player_extended_name	overall	position	age	height	weight	intl_rep	pace	dribbling	shooting	passing	defending	physicality	att_workrate	def_workrate
888	Paul Baysse	78	CB	30	185	85	1	65.0	64.0	46.0	66.0	78.0	80.0	Med	Med
955	Raúl Rodríguez Navas	78	CB	30	185	83	1	53.0	48.0	45.0	59.0	79.0	70.0	Med	Med
1207	Bruno González Cabrera	77	CB	28	185	86	1	37.0	46.0	33.0	48.0	78.0	81.0	Med	Med
1098	Jonatan Maidana	77	CB	33	185	86	1	60.0	52.0	37.0	61.0	77.0	79.0	Med	Med
1982	Paolo Goltz	75	CB	33	185	81	1	62.0	60.0	56.0	62.0	74.0	79.0	Med	Med
2035	David García Zubiria	75	CB	24	185	72	1	62.0	64.0	36.0	60.0	73.0	76.0	Med	Med
2416	Liam Moore	74	CB	25	185	86	1	71.0	64.0	31.0	62.0	72.0	77.0	Med	Med
2974	Julian Jeanvier	73	CB	25	185	84	1	72.0	56.0	35.0	49.0	71.0	77.0	Med	Med
3135	Axel Tuanzebe	73	CB	20	185	75	1	75.0	64.0	34.0	57.0	72.0	72.0	Med	Med
3070	Junior Alonso	73	CB	25	185	80	1	61.0	59.0	43.0	54.0	72.0	76.0	Med	Med
2692	Milan Biševac	73	CB	35	185	81	1	58.0	56.0	52.0	63.0	72.0	74.0	Med	Med
2873	Ben Gibson	73	CB	25	185	78	1	63.0	47.0	26.0	44.0	75.0	71.0	Med	Med
3531	Kenneth Omeruo	72	CB	24	185	81	1	71.0	58.0	32.0	49.0	70.0	79.0	Med	Med
3303	Maurice Edu	72	CB	32	185	81	1	61.0	66.0	63.0	63.0	69.0	75.0	Med	Med
3231	Russell Martin	72	CB	32	185	85	1	60.0	53.0	50.0	58.0	73.0	74.0	Med	Med
4458	Hichem Belkaroui	71	CB	28	185	81	1	55.0	49.0	28.0	39.0	71.0	71.0	Med	Med
4425	Robert Herrera	71	CB	29	185	83	1	70.0	47.0	39.0	47.0	69.0	79.0	Med	Med
3756	Rúben Miguel Santos Fernandes	71	CB	32	185	78	1	63.0	56.0	48.0	56.0	71.0	72.0	Med	Med
3856	Steffen Hagen	71	CB	32	185	80	1	57.0	46.0	35.0	52.0	71.0	76.0	Med	Med
3821	Christoph Janker	71	CB	33	185	77	1	53.0	51.0	34.0	45.0	71.0	71.0	Med	Med
4115	Marcelo Silva	71	CB	29	185	83	1	49.0	51.0	35.0	48.0	70.0	78.0	Med	Med
4656	Emanuele Terranova	70	CB	31	185	86	1	69.0	49.0	31.0	43.0	70.0	72.0	Med	Med
4714	Jonathan Doin	70	CB	30	185	84	1	57.0	57.0	47.0	58.0	69.0	77.0	Med	Med
4511	Andrea Mantovani	70	CB	34	185	77	1	51.0	51.0	46.0	53.0	70.0	74.0	Med	Med
4858	Jack Stephens	70	CB	24	185	75	1	61.0	62.0	41.0	55.0	72.0	68.0	Med	Med
4755	Chris Mavinga	70	CB	27	185	78	1	78.0	66.0	39.0	63.0	68.0	74.0	Med	Med
4794	Tim Ream	70	CB	31	185	73	1	65.0	67.0	43.0	66.0	69.0	72.0	Med	Med
5906	João Diogo Serpa Meira	69	CB	31	185	78	1	40.0	44.0	29.0	56.0	70.0	63.0	Med	Med
5824	Aaron Maund	69	CB	28	185	84	1	59.0	52.0	43.0	49.0	68.0	71.0	Med	Med
5990	Lucas Silva Afonso	69	CB	22	185	75	1	66.0	53.0	30.0	41.0	71.0	63.0	Med	Med
5417	João Miguel da Cunha Teixeira	69	CB	37	185	85	1	45.0	52.0	56.0	57.0	68.0	67.0	Med	Med
5497	Ahmed Kantari	69	CB	33	185	78	1	53.0	54.0	35.0	50.0	68.0	73.0	Med	Med
5514	John Mousinho	69	CB	32	185	79	1	57.0	63.0	55.0	58.0	68.0	76.0	Med	Med
5489	Íñigo López Montaña	69	CB	36	185	74	1	34.0	51.0	29.0	48.0	68.0	72.0	Med	Med
5335	Unai Elgezabal Udondo	69	CB	25	185	74	1	58.0	50.0	33.0	53.0	70.0	69.0	Med	Med
5300	Dayot Upamecano	69	CB	19	185	83	1	79.0	56.0	32.0	52.0	67.0	71.0	Med	Med
5358	Samir Memišević	69	CB	25	185	77	1	62.0	53.0	32.0	48.0	68.0	77.0	Med	Med
5639	Joseph Baffo	69	CB	25	185	79	1	71.0	38.0	31.0	41.0	70.0	73.0	Med	Med
6944	Ernest Seka	68	CB	31	185	84	1	50.0	37.0	25.0	30.0	71.0	75.0	Med	Med
6813	Jesús Miguel Valentín Rodríguez	68	CB	26	185	79	1	72.0	47.0	46.0	62.0	65.0	76.0	Med	Med
6900	José David Moya	68	CB	26	185	77	1	56.0	42.0	32.0	39.0	70.0	67.0	Med	Med
