player_ID	player_extended_name	overall	position	age	height	weight	intl_rep	pace	dribbling	shooting	passing	defending	physicality	att_workrate	def_workrate
4004	Christopher Schindler	78	CB	28	189	77	1	62.0	55.0	32.0	57.0	79.0	74.0	Med	Med
1504	Felix Uduokhai	76	CB	21	192	78	1	69.0	60.0	39.0	53.0	77.0	72.0	Med	Med
3124	Timo Baumgartl	76	CB	22	190	89	1	58.0	53.0	34.0	56.0	76.0	76.0	Med	Med
1275	Kevin Akpoguma	76	CB	23	192	85	1	75.0	61.0	49.0	55.0	77.0	73.0	Med	Med
1630	Stefan Bell	76	CB	27	192	88	1	60.0	53.0	40.0	55.0	78.0	75.0	Med	Med
3127	Marc-Oliver Kempf	74	CB	23	186	87	1	67.0	60.0	38.0	56.0	73.0	75.0	Med	Med
3526	Manuel Gulde	74	CB	27	184	78	1	66.0	59.0	40.0	53.0	74.0	70.0	Med	Med
6840	Toni Leistner	74	CB	28	190	90	1	66.0	56.0	37.0	53.0	72.0	80.0	Med	Med
2165	Lasse Sobiech	74	CB	27	196	88	1	51.0	43.0	51.0	47.0	75.0	74.0	Med	Med
1631	Alexander Hack	74	CB	25	193	88	1	72.0	60.0	32.0	62.0	73.0	76.0	Med	Med
2601	Gideon Jung	73	CB	24	189	76	1	61.0	62.0	42.0	60.0	74.0	70.0	Med	Med
7805	André Hoffmann	72	CB	25	190	84	1	45.0	56.0	38.0	57.0	72.0	69.0	Med	Med
5353	Florian Hübner	71	CB	27	193	84	1	53.0	45.0	43.0	48.0	71.0	71.0	Med	Med
7754	Tim Knipping	71	CB	25	189	82	1	54.0	51.0	31.0	43.0	71.0	78.0	Med	Med
7270	Tim Hoogland	71	CB	33	183	80	1	51.0	62.0	62.0	60.0	69.0	71.0	Med	Med
3534	Robin Koch	71	CB	22	192	85	1	60.0	59.0	34.0	55.0	71.0	71.0	Med	Med
6769	Uwe Hünemeier	70	CB	32	189	85	1	52.0	56.0	46.0	58.0	70.0	68.0	Med	Med
13359	Jordan Torunarigha	70	CB	21	189	77	1	72.0	51.0	34.0	49.0	71.0	71.0	Med	Med
8863	Patrick Bauer	70	CB	25	192	88	1	32.0	45.0	45.0	52.0	72.0	72.0	Med	Med
